epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4299,2.34016,3.47193,2.07248,0.11954,0.11356,0.06548,0.01849,2.67407,3.03775,2.44764,0.000553845,0.000553845,0.000553845
2,128.992,2.49239,3.26759,2.3089,0.57356,0.09469,0.05752,0.0178,2.49133,4.16787,2.44069,0.00109853,0.00109853,0.00109853
3,194.888,2.4928,3.29497,2.36584,0.58896,0.10568,0.06605,0.01932,2.59827,4.39867,2.44885,0.00163221,0.00163221,0.00163221
4,262.047,2.47039,3.27571,2.34895,0.63123,0.10945,0.09236,0.03039,2.50289,2.87811,2.41176,0.00161749,0.00161749,0.00161749
5,330.499,2.38016,3.13621,2.25069,0.56523,0.16719,0.10157,0.03521,2.42552,2.87591,2.35202,0.00160099,0.00160099,0.00160099
6,399.287,2.36114,3.09403,2.24962,0.62783,0.17192,0.15236,0.04594,2.39912,2.70956,2.38759,0.00158448,0.00158448,0.00158448
7,468.683,2.28893,3.00529,2.19559,0.23615,0.33442,0.18689,0.06207,2.29944,2.63189,2.30883,0.00156798,0.00156798,0.00156798
8,538.525,2.25047,2.86324,2.18976,0.16223,0.24243,0.1413,0.04913,2.30046,2.76602,2.29461,0.00155148,0.00155148,0.00155148
9,608.483,2.26006,2.88631,2.20231,0.21087,0.2457,0.19923,0.07706,2.27289,2.49228,2.24356,0.00153497,0.00153497,0.00153497
10,679.09,2.17794,2.79626,2.13333,0.11627,0.22082,0.19516,0.07035,2.26211,2.49996,2.3115,0.00151847,0.00151847,0.00151847
11,750.256,2.18259,2.72448,2.14266,0.23334,0.32677,0.1995,0.07942,2.26624,2.48782,2.30246,0.00150197,0.00150197,0.00150197
12,821.229,2.14073,2.66098,2.09696,0.26152,0.29424,0.18323,0.06629,2.27198,2.43221,2.27676,0.00148546,0.00148546,0.00148546
13,892.335,2.15341,2.66411,2.10208,0.23967,0.32871,0.22819,0.08853,2.21006,2.46716,2.2032,0.00146896,0.00146896,0.00146896
14,963.257,2.1187,2.57867,2.09045,0.25504,0.27362,0.20149,0.07957,2.22372,2.47778,2.27936,0.00145246,0.00145246,0.00145246
15,1034.25,2.09724,2.54326,2.0778,0.22018,0.45213,0.20554,0.07736,2.22163,2.43175,2.2022,0.00143595,0.00143595,0.00143595
16,1105.03,2.10041,2.57203,2.06169,0.24843,0.41509,0.23697,0.08509,2.20823,2.40264,2.24919,0.00141945,0.00141945,0.00141945
17,1176.06,2.07074,2.52683,2.04954,0.26155,0.36912,0.22234,0.09005,2.1882,2.37784,2.21899,0.00140295,0.00140295,0.00140295
18,1247.56,2.05643,2.49808,2.04511,0.2183,0.43987,0.22577,0.08743,2.16106,2.40115,2.17231,0.00138644,0.00138644,0.00138644
19,1318.81,2.04074,2.4914,2.01519,0.27136,0.39109,0.25641,0.10106,2.14798,2.28324,2.18268,0.00136994,0.00136994,0.00136994
20,1390.24,2.05158,2.42726,2.00682,0.20209,0.36538,0.23375,0.08394,2.12029,2.29424,2.10461,0.00135344,0.00135344,0.00135344
21,1461.57,2.05362,2.45184,2.02142,0.27204,0.40352,0.26559,0.1021,2.16018,2.22407,2.15306,0.00133693,0.00133693,0.00133693
22,1532.69,1.99636,2.38074,1.9691,0.21603,0.38841,0.22255,0.08518,2.16282,2.30774,2.20709,0.00132043,0.00132043,0.00132043
23,1604.21,2.00586,2.36511,1.9803,0.2277,0.4748,0.23852,0.09652,2.18758,2.20503,2.17958,0.00130393,0.00130393,0.00130393
24,1675.59,2.00884,2.35357,1.97288,0.27407,0.44981,0.25993,0.09952,2.12561,2.26405,2.15489,0.00128742,0.00128742,0.00128742
25,1747.05,1.9572,2.29911,1.93956,0.23886,0.42591,0.28225,0.11262,2.13682,2.20314,2.18136,0.00127092,0.00127092,0.00127092
26,1818.1,1.96442,2.29204,1.96338,0.20898,0.41195,0.19006,0.07214,2.14765,2.31804,2.19918,0.00125442,0.00125442,0.00125442
27,1889.28,1.95705,2.26233,1.96334,0.25041,0.46714,0.27393,0.10378,2.15994,2.16252,2.18288,0.00123791,0.00123791,0.00123791
28,1960.77,1.96324,2.28879,1.9417,0.25547,0.41948,0.2286,0.09028,2.1007,2.32075,2.15128,0.00122141,0.00122141,0.00122141
29,2031.77,1.92225,2.24461,1.93274,0.3417,0.39886,0.28417,0.11283,2.14231,2.15802,2.17343,0.00120491,0.00120491,0.00120491
30,2102.63,1.92674,2.22959,1.91762,0.30452,0.4179,0.27937,0.10459,2.09068,2.1478,2.11605,0.0011884,0.0011884,0.0011884
31,2174.04,1.91902,2.24399,1.93549,0.30734,0.44735,0.26403,0.10868,2.11111,2.18931,2.15547,0.0011719,0.0011719,0.0011719
32,2245.19,1.92761,2.24278,1.93059,0.29381,0.49633,0.29157,0.11393,2.10165,2.15533,2.1138,0.0011554,0.0011554,0.0011554
33,2316.19,1.92288,2.19548,1.92128,0.31609,0.51624,0.27022,0.11089,2.11448,2.19229,2.13731,0.00113889,0.00113889,0.00113889
34,2387.33,1.88574,2.20737,1.90294,0.32349,0.42934,0.31074,0.1243,2.1382,2.14811,2.14912,0.00112239,0.00112239,0.00112239
35,2458.49,1.87873,2.16744,1.89929,0.28295,0.40954,0.30057,0.12587,2.13183,2.14655,2.14254,0.00110589,0.00110589,0.00110589
36,2529.7,1.90042,2.1354,1.9101,0.29349,0.54968,0.31199,0.1236,2.07779,2.1871,2.1139,0.00108938,0.00108938,0.00108938
